PLAYER,TEAM,AGE,GP,W,L,MP,MIN,PTS,T.PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,T.REB,AST,T.AST,TOV,T.TOV,STL,T.STL,BLK,T.BLK,PF,T.PF,FP,DD2,TD3,+/-,Play2019,Play2020
Stephen Curry,GSW,32,28,15,13,33.71428571,944,30.14285714,844,282,565,49.9,140,321,43.6,140,150,93.3,12,136,5.285714286,148,5.857142857,164,3.214285714,90,1.178571429,33,0.071428571,2,1.892857143,53,1282.6,5,0,60,1,0
Luka Doncic,DAL,21,27,13,14,35.2962963,953,29.07407407,785,271,571,47.5,65,194,33.5,178,224,79.5,24,209,8.62962963,233,9.407407407,254,4.222222222,114,1,27,0.666666667,18,2.185185185,59,1466.6,14,7,11,0,1
Bradley Beal,WAS,27,23,8,15,35.2173913,810,33.08695652,761,265,557,47.6,59,173,34.1,172,193,89.1,32,88,5.217391304,120,4.434782609,102,3.130434783,72,1.391304348,32,0.52173913,12,2.565217391,59,1118,1,0,-97,1,0
Zach LaVine,CHI,25,26,11,15,35.65384615,927,28.15384615,732,261,507,51.5,93,216,43.1,117,137,85.4,21,123,5.538461538,144,5.192307692,135,3.807692308,99,1.038461538,27,0.461538462,12,2.615384615,68,1125.3,2,0,-71,0,0
Damian Lillard,POR,30,25,15,10,35.8,895,29.24,731,223,499,44.7,100,262,38.2,185,198,93.4,10,98,4.32,108,7.32,183,3.12,78,1.04,26,0.24,6,1.52,38,1153.1,3,0,71,1,1
Giannis Antetokounmpo,MIL,26,26,15,11,33.42307692,869,27.96153846,727,268,476,56.3,29,103,28.2,162,254,63.8,47,251,11.46153846,298,5.730769231,149,3.615384615,94,1.115384615,29,1.307692308,34,3.115384615,81,1403.1,18,4,194,1,1
LeBron James,LAL,36,28,21,7,34.57142857,968,25.5,714,261,524,49.8,72,189,38.1,120,169,71,17,207,8,224,7.964285714,223,3.678571429,103,1.071428571,30,0.5,14,1.607142857,45,1346.3,12,3,215,1,1
Nikola Jokic,DEN,25,26,15,11,35.84615385,932,26.53846154,690,266,472,56.4,37,97,38.1,121,141,85.8,79,220,11.5,299,8.692307692,226,3.461538462,90,1.538461538,40,0.653846154,17,3.038461538,79,1468.8,25,6,141,1,1
Julius Randle,NYK,26,29,14,15,36.72413793,1065,23.10344828,670,232,487,47.6,52,128,40.6,154,192,80.2,41,278,11,319,5.620689655,163,3.206896552,93,0.75862069,22,0.206896552,6,3.137931034,91,1288.3,18,1,38,0,0
Nikola Vucevic,ORL,30,28,10,18,33.42857143,936,23.67857143,663,263,545,48.3,75,174,43.1,62,76,81.6,58,262,11.42857143,320,3.392857143,95,1.678571429,47,1.107142857,31,0.571428571,16,1.714285714,48,1283.5,19,0,-226,1,0
Joel Embiid,PHI,26,22,17,5,32.31818182,711,29.63636364,652,207,381,54.3,26,65,40,212,249,85.1,43,194,10.77272727,237,2.818181818,62,3.318181818,73,1.272727273,28,1.227272727,27,2.454545455,54,1121.4,14,0,162,1,1
Trae Young,ATL,22,25,11,14,34.64,866,25.92,648,183,439,41.7,55,151,36.4,227,257,88.3,18,79,3.88,97,9.32,233,4.12,103,0.72,18,0.28,7,2.08,52,1085.9,12,0,86,0,1
Donovan Mitchell,UTA,24,26,21,5,33.61538462,874,24.19230769,629,215,502,42.8,89,227,39.2,110,131,84,24,87,4.269230769,111,5.076923077,132,2.961538462,77,0.769230769,20,0.346153846,9,2.230769231,58,970.2,1,0,165,0,1
Jaylen Brown,BOS,24,24,12,12,33.16666667,796,26,624,240,468,51.3,56,137,40.9,88,117,75.2,31,105,5.666666667,136,3.375,81,2.666666667,64,1.291666667,31,0.625,15,2.875,69,982.7,4,0,29,0,0
Brandon Ingram,NOP,23,26,11,15,35,910,24,624,217,466,46.6,66,169,39.1,124,143,86.7,16,125,5.423076923,141,4.692307692,122,2.346153846,61,0.615384615,16,0.961538462,25,1.692307692,44,1038.2,4,0,-16,0,1
Jerami Grant,DET,26,27,8,19,36.25925926,979,23.03703704,622,206,474,43.5,68,177,38.4,142,162,87.7,23,122,5.37037037,145,3.037037037,82,1.666666667,45,0.814814815,22,1.222222222,33,2.703703704,73,1039,3,0,-18,0,0
Kawhi Leonard,LAC,29,23,17,6,34.43478261,792,26.73913043,615,224,437,51.3,44,113,38.9,123,140,87.9,19,116,5.869565217,135,5,115,1.826086957,42,1.782608696,41,0.608695652,14,1.47826087,34,1072.5,4,0,240,1,1
Zion Williamson,NOP,20,25,11,14,32.68,817,24.36,609,235,387,60.7,4,13,30.8,135,190,71.1,62,108,6.8,170,2.92,73,2.32,58,0.96,24,0.76,19,2.64,66,993.5,6,0,0,0,0
De'Aaron Fox,SAC,23,26,12,14,33.07692308,860,23.23076923,604,219,460,47.6,48,140,34.3,118,171,69,18,68,3.307692308,86,6.807692308,177,3.115384615,81,1.230769231,32,0.5,13,2.692307692,70,1026.7,5,0,-89,0,0
Malcolm Brogdon,IND,28,28,14,14,35.85714286,1004,21.21428571,594,224,512,43.8,71,188,37.8,75,83,90.4,20,111,4.678571429,131,6.535714286,183,1.964285714,55,1.285714286,36,0.25,7,1.785714286,50,1099.7,2,0,-3,0,0
Domantas Sabonis,IND,24,28,14,14,36.07142857,1010,20.96428571,587,224,428,52.3,28,79,35.4,111,158,70.3,77,243,11.42857143,320,5.571428571,156,3.392857143,95,0.928571429,26,0.642857143,18,3.535714286,99,1242,22,2,-58,0,1
Gordon Hayward,CHA,30,26,13,13,35.46153846,922,22.26923077,579,210,432,48.6,57,135,42.2,102,118,86.4,24,118,5.461538462,142,3.846153846,100,2.115384615,55,1.115384615,29,0.423076923,11,1.884615385,49,964.4,1,0,15,0,0
Malik Beasley,MIN,24,27,7,20,32.33333333,873,20.92592593,565,207,452,45.8,92,229,40.2,59,69,85.5,26,111,5.074074074,137,2.555555556,69,1.518518519,41,0.777777778,21,0.185185185,5,1.592592593,43,869.9,0,0,-147,0,0
Kyrie Irving,BKN,28,20,12,8,35.35,707,28.25,565,213,399,53.4,61,138,44.2,78,85,91.8,18,74,4.6,92,5.65,113,2.4,48,1.05,21,0.75,15,2.95,59,904.9,2,0,131,1,0
Khris Middleton,MIL,29,27,16,11,32.81481481,886,20.66666667,558,205,402,51,67,151,44.4,81,90,90,20,136,5.777777778,156,6.037037037,163,2.444444444,66,1,27,0.148148148,4,2.703703704,73,1016.7,6,0,179,1,1
Kevin Durant,BKN,32,19,12,7,35.78947368,680,29,551,188,359,52.4,49,113,43.4,126,145,86.9,7,132,7.315789474,139,5.263157895,100,3.526315789,67,0.736842105,14,1.421052632,27,2.263157895,43,923.8,6,0,159,1,0
James Harden,BKN,31,23,12,11,37.69565217,867,23.86956522,549,169,358,47.2,68,179,38,143,160,89.4,18,150,7.304347826,168,11.30434783,260,4.391304348,101,1.043478261,24,0.782608696,18,2.304347826,53,1165.6,18,5,40,1,1
Collin Sexton,CLE,22,24,8,16,35.29166667,847,22.75,546,202,417,48.4,35,86,40.7,107,133,80.5,18,43,2.541666667,61,4.25,102,2.458333333,59,1.083333333,26,0.166666667,4,2.916666667,70,803.2,0,0,-111,0,0
Devin Booker,PHX,24,22,15,7,35.18181818,774,24.5,539,197,399,49.4,47,129,36.4,98,119,82.4,4,79,3.772727273,83,4.272727273,94,3.590909091,79,0.863636364,19,0.318181818,7,3.272727273,72,778.6,1,0,66,0,1
Jayson Tatum,BOS,22,21,11,10,35.33333333,742,25.61904762,538,198,440,45,59,145,40.7,83,95,87.4,12,137,7.095238095,149,4.476190476,94,2.333333333,49,1.238095238,26,0.428571429,9,1.857142857,39,913.8,5,0,78,0,1
Fred VanVleet,TOR,26,27,12,15,36.33333333,981,19.92592593,538,182,443,41.1,87,232,37.5,87,96,90.6,19,95,4.222222222,114,6.592592593,178,2,54,1.703703704,46,0.703703704,19,2.222222222,60,1082.8,3,0,86,0,0
Terry Rozier,CHA,26,26,12,14,33.34615385,867,20.57692308,535,194,396,49,89,200,44.5,58,73,79.5,15,91,4.076923077,106,3.038461538,79,1.730769231,45,1.269230769,33,0.461538462,12,1.961538462,51,870.7,0,0,-48,0,0
Anthony Davis,LAL,27,23,17,6,32.82608696,755,22.52173913,518,204,383,53.3,17,58,29.3,93,130,71.5,47,146,8.391304348,193,3.043478261,70,1.956521739,45,1.347826087,31,1.782608696,41,1.826086957,42,1025.6,8,0,135,1,1
Tobias Harris,PHI,28,25,17,8,34.36,859,20.68,517,199,383,52,45,106,42.5,74,82,90.2,32,154,7.44,186,3.04,76,2.12,53,0.8,20,0.8,20,2.12,53,921.2,6,0,123,0,0
Jordan Clarkson,UTA,28,28,23,5,25.96428571,727,18.21428571,510,187,405,46.2,90,234,38.5,46,48,95.8,25,90,4.107142857,115,2.071428571,58,1.857142857,52,0.928571429,26,0.25,7,1.428571429,40,782,0,0,143,0,0
DeMar DeRozan,SAS,31,25,15,10,33.4,835,19.8,495,164,336,48.8,16,48,33.3,151,169,89.3,19,106,5,125,6.88,172,1.64,41,0.76,19,0.32,8,1.76,44,943,3,0,-19,0,0
Bam Adebayo,MIA,23,25,11,14,33.56,839,19.76,494,182,319,57.1,2,5,40,128,152,84.2,48,187,9.4,235,5.28,132,3,75,1,25,1,25,2.48,62,1049,14,0,-22,0,1
Pascal Siakam,TOR,26,24,10,14,35.66666667,856,20.5,492,183,397,46.1,29,96,30.2,97,122,79.5,50,131,7.541666667,181,4.458333333,107,2.25,54,1.166666667,28,0.625,15,3.166666667,76,944.7,7,1,32,0,1
